40.4307089976   Longitude: 86.9158099706, 5
40.4307089976   Longitude: 86.9158099699, 5
40.4307089975   Longitude: 86.9158099693, 7
40.4307089974   Longitude: 86.9158099687, 7
40.4307089973   Longitude: 86.9158099675, 9
40.4307089972   Longitude: 86.9158099669, 5
40.4307089970   Longitude: 86.9158099657, 6
40.4307089969   Longitude: 86.9158099650, 5
40.4307089968   Longitude: 86.9158099644, 7
40.4307089967   Longitude: 86.9158099638, 7
40.4307089966   Longitude: 86.9158099632, 8
40.4307089966   Longitude: 86.9158099626, 5
40.4307089965   Longitude: 86.9158099620, 5
40.4307089964   Longitude: 86.9158099613, 5
40.4307089961   Longitude: 86.9158099601, 8
40.4307089960   Longitude: 86.9158099595, 7
40.4307089959   Longitude: 86.9158099589, 8
40.4307089958   Longitude: 86.9158099583, 5
40.4307089957   Longitude: 86.9158099577, 5
40.4307089956   Longitude: 86.9158099571, 5
40.4307089954   Longitude: 86.9158099560, 8
40.4307089952   Longitude: 86.9158099554, 7
40.4307089951   Longitude: 86.9158099548, 8
40.4307089949   Longitude: 86.9158099542, 5
40.4307089948   Longitude: 86.9158099536, 5
40.4307089946   Longitude: 86.9158099530, 26
40.4307089945   Longitude: 86.9158099525, 7
40.4307089943   Longitude: 86.9158099519, 6
40.4307089941   Longitude: 86.9158099513, 5
40.4307089937   Longitude: 86.9158099501, 9
40.4307089935   Longitude: 86.9158099495, 7
40.4307089932   Longitude: 86.9158099490, 5
40.4307089930   Longitude: 86.9158099484, 6
40.4307089927   Longitude: 86.9158099478, 5
40.4307089925   Longitude: 86.9158099472, 5
40.4307089922   Longitude: 86.9158099467, 5
40.4307089919   Longitude: 86.9158099461, 5
40.4307089916   Longitude: 86.9158099455, 6
40.4307089913   Longitude: 86.9158099449, 7
40.4307089910   Longitude: 86.9158099444, 5
40.4307089752   Longitude: 86.9158099299, 39
40.4307089550   Longitude: 86.9158099196, 40
40.4307089340   Longitude: 86.9158099124, 38
40.4307089124   Longitude: 86.9158099054, 37
40.4307090000   Longitude: 86.9158100000, 40.4307089774   Longitude: 86.9158099901, 43
40.4307089628   Longitude: 86.9158099813, 36
40.4307089528   Longitude: 86.9158099723, 40
40.4307089468   Longitude: 86.9158099611, 41
40.4307089434   Longitude: 86.9158099467, 38
40.4307089409   Longitude: 86.9158099263, 41
40.4307089384   Longitude: 86.9158099058, 35
40.4307089341   Longitude: 86.9158098773, 39
40.4307090000   Longitude: 86.9158100000, 40.4307089935   Longitude: 86.9158099597, 45
40.4307089933   Longitude: 86.9158099586, 5
40.4307089931   Longitude: 86.9158099575, 5
40.4307089929   Longitude: 86.9158099564, 5
40.4307089926   Longitude: 86.9158099541, 8
40.4307089922   Longitude: 86.9158099519, 8
40.4307089921   Longitude: 86.9158099508, 7
40.4307089919   Longitude: 86.9158099497, 5
40.4307089917   Longitude: 86.9158099486, 5
40.4307089916   Longitude: 86.9158099474, 5
40.4307089912   Longitude: 86.9158099452, 7
40.4307089909   Longitude: 86.9158099429, 8
40.4307089907   Longitude: 86.9158099418, 7
40.4307089905   Longitude: 86.9158099406, 5
40.4307089903   Longitude: 86.9158099395, 5
40.4307089901   Longitude: 86.9158099383, 5
40.4307089897   Longitude: 86.9158099360, 8
40.4307089895   Longitude: 86.9158099348, 7
40.4307089893   Longitude: 86.9158099336, 8
40.4307089891   Longitude: 86.9158099324, 5
40.4307089889   Longitude: 86.9158099312, 5
40.4307089887   Longitude: 86.9158099300, 5
40.4307089885   Longitude: 86.9158099288, 6
40.4307089882   Longitude: 86.9158099276, 7
40.4307089880   Longitude: 86.9158099264, 7
40.4307089877   Longitude: 86.9158099252, 5
40.4307089872   Longitude: 86.9158099227, 6
40.4307089869   Longitude: 86.9158099214, 5
40.4307089867   Longitude: 86.9158099202, 36
40.4307089864   Longitude: 86.9158099190, 6
40.4307089861   Longitude: 86.9158099177, 8
40.4307089858   Longitude: 86.9158099165, 8
40.4307089855   Longitude: 86.9158099152, 8
40.4307089852   Longitude: 86.9158099140, 5
40.4307089849   Longitude: 86.9158099127, 5
40.4307089846   Longitude: 86.9158099115, 5
40.4307089840   Longitude: 86.9158099090, 7
40.4307089837   Longitude: 86.9158099078, 8
40.4307089833   Longitude: 86.9158099066, 8
40.4307089830   Longitude: 86.9158099053, 5
40.4307089826   Longitude: 86.9158099041, 5
40.4307089823   Longitude: 86.9158099029, 7
40.4307089819   Longitude: 86.9158099016, 6
40.4307089816   Longitude: 86.9158099004, 6
40.4307089812   Longitude: 86.9158098991, 7
40.4307089808   Longitude: 86.9158098979, 5
40.4307089804   Longitude: 86.9158098967, 5
40.4307089801   Longitude: 86.9158098954, 5
40.4307089793   Longitude: 86.9158098930, 7
40.4307089789   Longitude: 86.9158098918, 7
40.4307089785   Longitude: 86.9158098905, 7
